Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Adley Rutschman#,26,10,44,38,8,12,2,0,0,6,0,0,5,4,.316,.386,.368,.755,126,14,0,0,0,1,0,rutscad01
2,1B,Ryan Mountcastle,27,10,45,39,5,11,5,0,1,8,0,0,4,7,.282,.333,.487,.821,141,19,0,0,0,2,0,mountry01
3,2B,Jordan Westburg,25,9,34,31,6,6,2,0,1,5,0,0,1,6,.194,.242,.355,.597,76,11,0,1,1,0,0,westbjo01
4,SS,Gunnar Henderson*,23,10,44,39,8,9,1,1,2,6,3,0,4,8,.231,.295,.462,.757,122,18,0,0,0,1,0,hendegu01
5,3B,Ramón Urías,30,8,23,22,3,2,0,0,0,0,0,0,1,4,.091,.130,.091,.221,-33,2,0,0,0,0,0,uriasra01
6,LF,Austin Hays,28,9,29,26,2,2,0,0,0,2,0,0,3,7,.077,.172,.077,.249,-23,2,1,0,0,0,1,haysau01
7,CF,Cedric Mullins*,29,10,35,32,7,6,1,0,2,8,2,0,1,9,.188,.229,.406,.635,85,13,0,1,0,1,0,mullice01
8,RF,Anthony Santander#,29,10,44,42,5,9,2,0,2,11,0,0,1,12,.214,.227,.405,.632,84,17,0,0,0,1,0,santaan02
9,DH,Ryan O'Hearn*,30,8,24,21,4,7,1,1,1,1,0,0,3,2,.333,.417,.619,1.036,204,13,0,0,0,0,0,ohearry01
10,OF,Colton Cowser*,24,9,16,15,1,7,4,0,0,5,0,0,0,5,.467,.438,.733,1.171,242,11,0,0,0,1,0,cowseco01
11,UT,Jorge Mateo,29,7,15,14,2,5,3,0,0,0,1,0,1,5,.357,.400,.571,.971,186,8,0,0,0,0,0,mateojo01
12,C,James McCann,34,5,14,14,2,4,1,0,0,2,0,0,0,2,.286,.286,.357,.643,90,5,0,0,0,0,0,mccanja02
13,UT,Tony Kemp*,32,5,10,9,1,0,0,0,0,0,0,0,1,1,.000,.100,.000,.100,-67,0,0,0,0,0,0,kempto01
14,P,Dean Kremer,28,0,0,,,,,,,,,,,,,,,,,,,,,,,kremede01
15,P,Yennier Cano,30,0,0,,,,,,,,,,,,,,,,,,,,,,,canoye01
16,P,Dillon Tate,30,0,0,,,,,,,,,,,,,,,,,,,,,,,tatedi01
17,P,Jonathan Heasley,27,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,heasljo01
18,P,Tyler Wells,29,0,0,,,,,,,,,,,,,,,,,,,,,,,wellsty01
19,P,Cionel Pérez (15-day IL),28,0,0,,,,,,,,,,,,,,,,,,,,,,,perezci01
20,P,Danny Coulombe*,34,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,couloda01
21,P,Keegan Akin*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,akinke01
22,P,Jacob Webb,30,0,0,,,,,,,,,,,,,,,,,,,,,,,webbja01
23,P,Mike Baumann,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,baumami01
24,P,Craig Kimbrel,36,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kimbrcr01
25,P,Corbin Burnes,29,0,0,,,,,,,,,,,,,,,,,,,,,,,burneco01
26,P,Grayson Rodriguez*,24,0,0,,,,,,,,,,,,,,,,,,,,,,,rodrigr01
27,P,Cole Irvin*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,irvinco01
,,Team Totals,27.4,10,377,342,54,80,22,2,9,54,6,0,25,72,.234,.285,.389,.673,99,133,1,2,1,7,1,-9999
,,Rank in 15 AL teams,,,,14,4,12,2,7,11,,7,1,15,1,7,11,6,9,,10,,14,,2,,-9999
